word,resp,beep,sentence,wordPracLoop.thisRepN,wordPracLoop.thisTrialN,wordPracLoop.thisN,wordPracLoop.thisIndex,wordLoop.thisRepN,wordLoop.thisTrialN,wordLoop.thisN,wordLoop.thisIndex,sentPracLoop.thisRepN,sentPracLoop.thisTrialN,sentPracLoop.thisN,sentPracLoop.thisIndex,meaningLoop.thisRepN,meaningLoop.thisTrialN,meaningLoop.thisN,meaningLoop.thisIndex,nonsenseLoop.thisRepN,nonsenseLoop.thisTrialN,nonsenseLoop.thisN,nonsenseLoop.thisIndex,wordInst.started,wordInst.stopped,proceedPrac0.started,proceedPrac0.stopped,wordInst2.started,wordInst2.stopped,proceed1.keys,proceed1.rt,proceed1.started,proceed1.stopped,iti,wordPrac.started,wordPrac.stopped,beepPrac.started,beepPrac.stopped,proceedPrac.started,proceedPrac.stopped,ITI1.started,ITI1.stopped,word_great.started,word_great.stopped,wordStim.started,wordStim.stopped,wordResp.keys,wordResp.rt,wordResp.started,wordResp.stopped,proceed3.started,proceed3.stopped,wordBeep.started,wordBeep.stopped,ITI2.started,ITI2.stopped,word_difficulty.started,word_difficulty.stopped,diffRating.response,diffRating.rt,diffRating.started,diffRating.stopped,tired.started,tired.stopped,fatigueRating.response,fatigueRating.rt,fatigueRating.started,fatigueRating.stopped,senInst.started,senInst.stopped,proceed4.keys,proceed4.rt,proceed4.started,proceed4.stopped,senInst2.started,senInst2.stopped,proceed4_2.keys,proceed4_2.rt,proceed4_2.started,proceed4_2.stopped,sentPrac.started,sentPrac.stopped,beepSentPrac.started,beepSentPrac.stopped,proceedSent.started,proceedSent.stopped,ITI3.started,ITI3.stopped,block2Intro.started,block2Intro.stopped,proceed5.keys,proceed5.rt,proceed5.started,proceed5.stopped,sentStim.started,sentStim.stopped,sentResp.keys,sentResp.rt,sentResp.started,sentResp.stopped,proceed6.started,proceed6.stopped,sentBeep.started,sentBeep.stopped,ITI4.started,ITI4.stopped,sent_difficulty.started,sent_difficulty.stopped,sentRating.response,sentRating.rt,sentRating.started,sentRating.stopped,block3Intro.started,block3Intro.stopped,proceed7.keys,proceed7.rt,proceed7.started,proceed7.stopped,nonsenseStim.started,nonsenseStim.stopped,nonsenseResp.keys,nonsenseResp.rt,nonsenseResp.started,nonsenseResp.stopped,proceed8.started,proceed8.stopped,nonsenseBeep.started,nonsenseBeep.stopped,ITI5.started,ITI5.stopped,strategyUse.started,strategyUse.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,thanks.started,thanks.stopped,escape.keys,escape.rt,escape.started,escape.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,13.688369483000315,None,13.688369483000315,None,19.0460147470003,None,space,4.188928384000064,19.0460147470003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
gmae,space,audio/beep.wav,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,24.26256145000025,None,24.262257687100192,24.462432967000495,23.2774600620005,None,23.2774600620005,24.295799999000337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
wsih,space,audio/beep.wav,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,26.52912805899996,None,26.528917968099723,26.72908718400049,25.199269763999837,None,25.199269763999837,26.56247775799966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
numreb,space,audio/beep.wav,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,28.445760655000413,None,28.445529153099688,28.645729038000354,27.165875869000047,None,27.165875869000047,28.462526575000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
chcnae,space,audio/beep.wav,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,30.662412589999803,None,30.66217247309969,30.86242492099973,29.29608671999995,None,29.29608671999995,30.6955986009998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
wordl,space,audio/beep.wav,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,32.612748716999704,None,32.612479915100536,32.81276794800033,31.347491966000234,None,31.347491966000234,32.62939005200042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
advance,space,audio/beep.wav,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,33.24612876399988,None,36.212627859999884,None,space,1.712572899999941,35.279427491000206,None,35.09951320900018,None,1.135941378201096,1.3359121262010376,35.09951320900018,36.22936241200023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
prbolem,space,audio/beep.wav,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,38.01271239400012,None,space,1.5348888359994817,37.19602857799964,None,37.01646827100012,None,1.0206419031001133,1.2206146301004992,37.01646827100012,38.02939615200012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
originla,space,audio/beep.wav,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,39.762634331999834,None,space,1.38193737399979,38.94594322299963,None,38.76319740400049,None,1.0238443730986546,1.22379510709834,38.76319740400049,39.77935023900045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
party,space,audio/beep.wav,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,41.6459336959997,None,space,1.6556086850005158,40.529330766000385,None,40.347341622000386,None,1.3219210991001091,1.521888953099733,40.347341622000386,41.662631203000274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.23107212800005,None,1.0,3.0136772639998526,42.23107212800005,None,45.25110011600009,None,1.0,1.259158400999695,45.25110011600009,None,46.51663666600052,None,space,6.987801940000281,46.6956466419997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.712166745000104,None,space,5.573204048999287,53.89551925700016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,space,audio/beep.wav,My sisret lisek to sgni in the shorew.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.862420282999665,None,60.862101905100005,61.06239841200022,59.511147035999784,None,59.511147035999784,60.895784180999726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,space,audio/beep.wav,I had soem bacno and oatmela for breakfats.,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.74564755699976,None,62.74532286809999,62.945758820000265,61.65020739099964,None,61.65020739099964,62.7623531119998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,space,audio/beep.wav,You shluod caelr the brswoer hiotsry bofere you lvaee.,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.51227448600002,None,64.51204917509976,64.71238806699967,63.38274111700048,None,63.38274111700048,64.52892926100048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,space,audio/beep.wav,The paernts wree bsuy wtih wrok all monring.,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7293827200001,None,66.72919950910027,66.92901318999975,65.4646715480003,None,65.4646715480003,66.74570841700006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59567047699966,None,space,2.4678910209995593,69.57855518399992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.20313285999964,None,2.0,0.9183526239994535,83.20313285999964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,79.89546333700036,None,space,2.042806620000192,78.9288663160005,None,78.7473980169998,None,79.89519033209972,80.09546136500012,78.7473980169998,79.91201256299973,81.00443385400013,None,2.0,2.186808057000235,81.00443385400013,None,84.1312960410005,None,space,7.32030906700038,85.11204367800019,None,,,,,,,,,,,,,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,space,audio/beep.wav,The rued oystesr jumpde the casion shoudl shien for the unino.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.945330259,None,space,2.884111001000747,92.67856425900027,None,92.48871076900014,None,93.94491210410006,94.14526801200009,92.48871076900014,93.96192105499995,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,space,audio/beep.wav,He impldei wneh the diplotam and futeru wodlu horon.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.99523671800034,None,space,2.8221616840000934,95.77847085899975,None,95.59566125299989,None,96.99497850909965,97.19529276100002,95.59566125299989,97.02871727999991,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,space,audio/beep.wav,A pretend turning cares for the stone numbers.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.82842352100033,None,space,2.601342709999699,98.81204570200043,None,98.62985026000024,None,99.82823630410012,100.02859140600049,98.62985026000024,99.84519753400036,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,space,audio/beep.wav,The facotry on the dissater detials a sfot vactaion.,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.91185298599976,None,space,2.5837192509998204,101.62854942900049,None,101.44546094900033,None,102.9115609571002,103.11183490799976,101.44546094900033,102.92851386199982,,,,,,,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.29469509000046,None,3.0,0.7625812629994471,106.29469509000046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.24835752600029,None,3.0,2.0296108749998893,104.24835752600029,None,,,,,,,,,,,,,,,,,,,107.06779526500031,None,space,1.1769515569994837,108.04517199699967,None,,,,,,,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.24512942000001,None,space,1.7986917309999626,109.72830549900027,None,test,001,2021_Jul_21_1351,typo_VersionA,2021.1.4,59.90231765014954,
